ID,ecotype,species,lat,long,depth,sal_bottom,temp_bottom,sal_surface,temp_surface,Geothermal,current_velocity
140217-A,deep,vic,-75.5246667,-172.992,1376,34.64354,0.00466,34.17403,-1.54301,53.10192,0.0264
140217-B,deep,vic,-75.5246667,-172.992,1376,34.64354,0.00466,34.17403,-1.54301,53.10192,0.0264
140217-C,deep,vic,-75.5246667,-172.992,1376,34.64354,0.00466,34.17403,-1.54301,53.10192,0.0264
250,deep,vic,-74.4789,-104.23699,1208.15,34.06193,0.36491,33.83012,-1.39163,64.16285,0.02767
251,deep,vic,-74.4789,-104.23699,1208.15,34.06193,0.36491,33.83012,-1.39163,64.16285,0.02767
36968-A,shelf,vic,-76.202,176.248,447,34.74279,-2.0264,34.44208,-1.35109,62.14604,0.03363
36968-B,shelf,vic,-76.202,176.248,447,34.74279,-2.0264,34.44208,-1.35109,62.14604,0.03363
36968-C,shelf,vic,-76.202,176.248,447,34.74279,-2.0264,34.44208,-1.35109,62.14604,0.03363
36968-E,shelf,vic,-76.202,176.248,447,34.74279,-2.0264,34.44208,-1.35109,62.14604,0.03363
36968-F,shelf,vic,-76.202,176.248,447,34.74279,-2.0264,34.44208,-1.35109,62.14604,0.03363
37157-A,shelf,vic,-72.59033333,175.3423333,475,34.71301,-0.20865,34.27692,-1.41293,72.43236,0.06066
830,deep,vic,-71.17512,-109.86314,1079.85,34.70638,0.52539,33.7822,-1.26509,49.59697,0.01131
881-11,deep,vic,-71.17512,-109.86314,1079.85,34.70638,0.52539,33.7822,-1.26509,49.59697,0.01131
881-19,deep,vic,-71.17512,-109.86314,1079.85,34.70638,0.52539,33.7822,-1.26509,49.59697,0.01131
903,shelf,vic,-71.17901,-109.89387,997.95,34.70638,0.52539,33.7822,-1.26509,49.59697,0.01131
93825-B,shelf,vic,-71.4936676,171.6041718,483,34.67963,0.19286,34.23448,-1.2524,77.28266,0.09021
93825-C,shelf,vic,-71.4936676,171.6041718,483,34.67963,0.19286,34.23448,-1.2524,77.28266,0.09021
94825-A,shelf,vic,-71.4936676,171.6041718,483,34.67963,0.19286,34.23448,-1.2524,77.28266,0.09021
94857-A,island,vic,-67.41783142,163.9154968,227,34.70025,0.13228,34.11641,-1.15692,97.09138,0.00852
94857-B,island,vic,-67.41783142,163.9154968,227,34.70025,0.13228,34.11641,-1.15692,97.09138,0.00852
94858-A,shelf,vic,-71.64466858,170.2188263,252,34.64398,0.19286,34.27687,-1.30216,77.09519,NA
94866-A,shelf,vic,-71.64766693,170.1801605,172,34.64398,0.19286,34.27687,-1.30216,77.09519,NA
94866-B,shelf,vic,-71.64766693,170.1801605,172,34.64398,0.19286,34.27687,-1.30216,77.09519,NA
94869-A,shelf,vic,-71.4936676,171.6041718,483,34.67963,0.19286,34.23448,-1.2524,77.28266,0.09021
94869-B,shelf,vic,-71.4936676,171.6041718,483,34.67963,0.19286,34.23448,-1.2524,77.28266,0.09021
AAD107,shelf,vic,-66.7911667,62.442,213,34.62873,0.04967,34.08046,-1.24178,65.37702,0.03741
AAD141,shelf,vic,-66.7923333,62.096,270,34.63905,0.04967,34.07577,-1.24178,64.8633,0.03467
E5492A,island,vic,-62.367333,-55.960833,349,34.5255,-0.42546,34.23782,-0.89442,65.43633,0.01941
E5492B,island,vic,-62.367333,-55.960833,349,34.5255,-0.42546,34.23782,-0.89442,65.43633,0.01941
E5492C,island,vic,-62.367333,-55.960833,349,34.5255,-0.42546,34.23782,-0.89442,65.43633,0.01941
E5492D,island,vic,-62.367333,-55.960833,349,34.5255,-0.42546,34.23782,-0.89442,65.43633,0.01941
E5492E,island,vic,-62.367333,-55.960833,349,34.5255,-0.42546,34.23782,-0.89442,65.43633,0.01941
E5524A,island,vic,-62.278167,-55.832667,324,34.52473,-0.42546,34.23211,-0.86594,65.62001,0.01941
E5524B,island,vic,-62.278167,-55.832667,324,34.52473,-0.42546,34.23211,-0.86594,65.62001,0.01941
E5524C,island,vic,-62.278167,-55.832667,324,34.52473,-0.42546,34.23211,-0.86594,65.62001,0.01941
E5524D,island,vic,-62.278167,-55.832667,324,34.52473,-0.42546,34.23211,-0.86594,65.62001,0.01941
E5524E,island,vic,-62.278167,-55.832667,324,34.52473,-0.42546,34.23211,-0.86594,65.62001,0.01941
E6408,island,vic,-53.633817,-37.307067,167,34.39623,0.62515,33.86843,2.03562,NA,0.04194
E6420,island,vic,-53.715167,-36.83575,190,34.56112,0.46177,33.86056,1.78171,NA,0.03358
IE_2009_4672,deep,vic,-66.40862,140.50817,1204,34.58288,0.10225,34.15219,-1.49446,52.14085,0.08471
IE_2009_4675,shelf,vic,-65.99122,139.30742,485,34.63234,-0.01189,34.09039,-1.45935,63.00444,0.10757
IE_2009_4676,deep,vic,-66.40862,140.50817,1204,34.58288,0.10225,34.15219,-1.49446,52.14085,0.08471
IE_2009_4679,deep,vic,-66.40862,140.50817,1204,34.58288,0.10225,34.15219,-1.49446,52.14085,0.08471
IE_2009_4687A,shelf,vic,-66.3351,141.27267,227,34.58414,0.10225,34.16325,-1.47968,56.33297,0.08619
IE_2009_4690,shelf,vic,-66.6514,142.95743,637,34.56937,-0.04853,34.19059,-1.50053,61.39143,0.0425
IE_2009_4702,shelf,vic,-66.53482,141.98268,521,34.57058,0.10225,34.18422,-1.50693,55.66922,0.05142
