order,ID,species,location,species_loc
1,140217-A,victoriae,"Iselin Bank, Ross Sea",victoriae
2,140217-B,victoriae,"Iselin Bank, Ross Sea",victoriae
3,140217-C,victoriae,"Iselin Bank, Ross Sea",victoriae
4,250,victoriae,Amundsen Sea,victoriae
5,251,victoriae,Amundsen Sea,victoriae
6,36968-A,victoriae,"C4, Western Ross Sea",victoriae
7,36968-B,victoriae,"C4, Western Ross Sea",victoriae
8,36968-C,victoriae,"C4, Western Ross Sea",victoriae
9,36968-E,victoriae,"C4, Western Ross Sea",victoriae
10,36968-F,victoriae,"C4, Western Ross Sea",victoriae
11,37157-A,victoriae,"C15, Ross Sea",victoriae
12,830,victoriae,Amundsen Sea,victoriae
13,881-19,victoriae,Amundsen Sea,victoriae
14,903,victoriae,Amundsen Sea,victoriae
15,93825-B,victoriae,Ross Sea,victoriae
16,93825-C,victoriae,Ross Sea,victoriae
17,94825-A,victoriae,Ross Sea,victoriae
18,94857-A,victoriae,Balleny Islands,victoriae
19,94857-B,victoriae,Balleny Islands,victoriae
20,94858-A,victoriae,Ross Sea,victoriae
21,94866-A,victoriae,Ross Sea,victoriae
22,94866-B,victoriae,Ross Sea,victoriae
23,94869-A,victoriae,Ross Sea,victoriae
24,94869-B,victoriae,Ross Sea,victoriae
25,AAD141,victoriae,Prydz Bay,victoriae
26,E5492A,victoriae,Bransfield Mouth,victoriae
27,E5492B,victoriae,Bransfield Mouth,victoriae
28,E5492C,victoriae,Bransfield Mouth,victoriae
29,E5492D,victoriae,Bransfield Mouth,victoriae
30,E5492E,victoriae,Bransfield Mouth,victoriae
31,E5493A,hexactis,Bransfield Mouth,BM
32,E5493B,hexactis,Bransfield Mouth,BM
33,E5493C,hexactis,Bransfield Mouth,BM
34,E5493D,hexactis,Bransfield Mouth,BM
35,E5493E,hexactis,Bransfield Mouth,BM
36,E5493F,hexactis,Bransfield Mouth,BM
37,E5493G,hexactis,Bransfield Mouth,BM
38,E5493H,hexactis,Bransfield Mouth,BM
