ID,species,location,species_loc
140217-A,victoriae,"Iselin Bank, Ross Sea",victoriae
140217-B,victoriae,"Iselin Bank, Ross Sea",victoriae
140217-C,victoriae,"Iselin Bank, Ross Sea",victoriae
250,victoriae,Amundsen Sea,victoriae
251,victoriae,Amundsen Sea,victoriae
36968-A,victoriae,"C4, Western Ross Sea",victoriae
36968-B,victoriae,"C4, Western Ross Sea",victoriae
36968-C,victoriae,"C4, Western Ross Sea",victoriae
36968-E,victoriae,"C4, Western Ross Sea",victoriae
36968-F,victoriae,"C4, Western Ross Sea",victoriae
37157-A,victoriae,"C15, Ross Sea",victoriae
830,victoriae,Amundsen Sea,victoriae
881-19,victoriae,Amundsen Sea,victoriae
903,victoriae,Amundsen Sea,victoriae
93825-B,victoriae,Ross Sea,victoriae
93825-C,victoriae,Ross Sea,victoriae
94825-A,victoriae,Ross Sea,victoriae
94857-A,victoriae,Balleny Islands,victoriae
94857-B,victoriae,Balleny Islands,victoriae
94858-A,victoriae,Ross Sea,victoriae
94866-A,victoriae,Ross Sea,victoriae
94866-B,victoriae,Ross Sea,victoriae
94869-A,victoriae,Ross Sea,victoriae
94869-B,victoriae,Ross Sea,victoriae
AAD141,victoriae,Prydz Bay,victoriae
E5492A,victoriae,Bransfield Mouth,victoriae
E5492B,victoriae,Bransfield Mouth,victoriae
E5492C,victoriae,Bransfield Mouth,victoriae
E5492D,victoriae,Bransfield Mouth,victoriae
E5492E,victoriae,Bransfield Mouth,victoriae
E5493A,hexactis,Bransfield Mouth,BM
E5493B,hexactis,Bransfield Mouth,BM
E5493C,hexactis,Bransfield Mouth,BM
E5493D,hexactis,Bransfield Mouth,BM
E5493E,hexactis,Bransfield Mouth,BM
E5493F,hexactis,Bransfield Mouth,BM
E5493G,hexactis,Bransfield Mouth,BM
E5493H,hexactis,Bransfield Mouth,BM
E5493I,hexactis,Bransfield Mouth,BM
E5493J,hexactis,Bransfield Mouth,BM
E5524A,victoriae,Bransfield Mouth,victoriae
E5524B,victoriae,Bransfield Mouth,victoriae
E5524C,victoriae,Bransfield Mouth,victoriae
E5524D,victoriae,Bransfield Mouth,victoriae
E5524E,victoriae,Bransfield Mouth,victoriae
E6408,victoriae,South Georgia,victoriae
E6420,victoriae,South Georgia,victoriae
IE_2009_4672,victoriae,Adelie Land,victoriae
IE_2009_4675,victoriae,Adelie Land,victoriae
IE_2009_4676,victoriae,Adelie Land,victoriae
IE_2009_4679,victoriae,Adelie Land,victoriae
IE_2009_4687A,victoriae,Adelie Land,victoriae
IE_2009_4690,victoriae,Adelie Land,victoriae
IE_2009_4702,victoriae,Adelie Land,victoriae
IE_2009_4703,victoriae,Adelie Land,victoriae
IE_2009_4707,victoriae,Adelie Land,victoriae
IE_2009_4713,victoriae,Adelie Land,victoriae
IE_2009_4726,victoriae,Adelie Land,victoriae
IE_2009_4731,victoriae,Adelie Land,victoriae
IE_2009_4734,victoriae,Adelie Land,victoriae
